Nombre,Valores
ntensidad colorante ,Numeric
Matiz violeta,Numeric
Matiz rojo,Numeric
Matiz pardo,Numeric
Intensidad aromática,Numeric
Herbáceo_vegetal,Numeric
Fruta fresca,Numeric
Fruta cocida,Numeric
Mermelada_confitura,Numeric
Floral,Numeric
Frutos secos,Numeric
Especiado,Numeric
Balsámico,Numeric
Terroso,Numeric
Madera,Numeric
Café ,Numeric
Chocolate,Numeric
Acidez ,Numeric
Amargor,Numeric
Dulzor,Numeric
Astringencia,Numeric
Volumen en boca,Numeric
